Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
282	https://operacaocovid19.defesa.gov.br/noticias/noticia/1021	27/04/2020	DESCONTAMINAÇÃO DE TERMINAL RODOVIÁRIO	O 22° Grupo de Artilharia de Campanha Autopropulsado apoiou a Prefeitura de Uruguaiana na sanitização de dois locais públicos muito utilizados pela população local, na manhã do dia 25 de abril. A equipe de descontaminação do 22° GAC AP realizou essa ação na estação rodoviária de Uruguaiana e no terminal de transporte coletivo urbano. A atividade faz parte de uma série de ações empreendidas pelo Grupo para mitigar os efeitos da pandemia da COVID-19 na sociedade uruguainense.	Higienização		Sul	RS	Uruguaiana
283	https://operacaocovid19.defesa.gov.br/noticias/noticia/1022	27/04/2020	Militares das Forças Armadas atuam de forma solidária em todo o Brasil	São diversas as ações em que as Forças Armadas são empregadas no combate à proliferação do novo coronavírus. De forma ininterrupta, o apoio, a solidariedade e a conscientização estão entre as atividades diária dos militares.	Apoio de Saúde		Sudeste	SP	São José dos Campos
284	https://operacaocovid19.defesa.gov.br/noticias/noticia/1023	27/04/2020	Comando Conjunto Oeste promove descontaminação em locais de grande movimentação de Campo Grande-MS	O Comando Conjunto Oeste realizou, nos dias 22 e 23 de abril, a descontaminação de locais de grande movimentação de Campo Grande-MS. Na noite do dia 22, a ação foi realizada no Mercadão Municipal e no Pronto Atendimento da Santa Casa do município. Na manhã do dia 23, na Feira Central de Campo Grande.	Higienização		Centro-Oeste	MS	Campo Grande
285	https://operacaocovid19.defesa.gov.br/noticias/noticia/1024	27/04/2020	EPCAR e GAP-BQ entregam kits de alimentação aos beneficiários do PROFESP	A Escola Preparatória de Cadetes do Ar (EPCAR) e o Grupamento de Apoio de Barbacena (GAP-BQ) realizaram, na sexta-feira (24), a entrega de kits de alimentação aos beneficiários do Programa Forças no Esporte (PROFESP). Ao todo, 180 famílias de Barbacena (MG) foram contempladas.	Alimentação		Sudeste	MG	Barbacena
286	https://operacaocovid19.defesa.gov.br/noticias/noticia/1025	27/04/2020	DESCONTAMINAÇÃO DE UNIDADE BÁSICA DE SAÚDE	No dia 24 abril, no contexto da Operação COVID-19, o 1º Regimento de Carros de Combate (1º RCC) realizou a descontaminação e desinfecção da Unidade Básica de Saúde (UBS) Floriano Rocha, na cidade de Santa Maria, sob coordenação da 6ª Brigada de Infantaria Blindada e da 3ª Divisão de Exército. Essa ação teve como objetivo diminuir os impactos causados pela epidemia do coronavírus.	Higienização		Sul	RS	Santa Maria
287	https://operacaocovid19.defesa.gov.br/noticias/noticia/1026	27/04/2020	DOAÇÃO DE CESTAS BÁSICAS PARA FAMÍLIAS CARENTES DO MUNICÍPIO DE TABATINGA (AM)	No dia 13 de abril, por iniciativa de um grupo de militares e seus dependentes, iniciou-se a arrecadação de alimentos não-perecíveis para a confecção e doação de cestas básicas destinadas às famílias carentes do município de Tabatinga, que estão sem condições básicas de alimentação e higiene em decorrência da pandemia COVID-19.	Alimentação		Norte	AM	Tabatinga
288	https://operacaocovid19.defesa.gov.br/noticias/noticia/1027	27/04/2020	Crianças são preparadas para o combate à Covid-19 de forma lúdica	Modificar os hábitos em razão do coronavírus não é nada fácil. Diante da pandemia, todo cuidado é pouco na hora de tocar objetos, manter a higiene das mãos, evitar tocar o rosto ou descalçar os sapatos ao chegar em casa, entre outras atitudes imprescindíveis a serem adotadas no dia a dia. Se nem os adultos estão acostumados com tais procedimentos, muitas vezes parece ser difícil promover a mudança de hábitos entre as crianças.	Comunicação		Centro-Oeste	DF	Brasília
289	https://operacaocovid19.defesa.gov.br/noticias/noticia/1028	27/04/2020	EXERCÍCIO DE SIMULAÇÃO DE ATENDIMENTO ÀS VÍTIMAS DE ACIDENTES E DA COVID-19	No dia 23 de abril, foram realizados, pela equipe do Quadro de Saúde do 44º Batalhão de Infantaria Motorizado (44º BI Mtz), exercícios de simulação de atendimento, resgate e evacuação de vítima de acidentes com trauma ou com sintomas da COVID-19. Dentro do cronograma de treinamentos, são avaliadas as técnicas empregadas nos diversos estágios de agravamento nas situações de saúde no local, bem como a presteza no atendimento, desde o momento do acionamento de emergência da equipe, até a evacuação médica com destino aos órgãos de saúde.	Apoio de Saúde		Centro-Oeste	MT	Cuiabá
290	https://operacaocovid19.defesa.gov.br/noticias/noticia/1029	28/04/2020	HIGIENIZAÇÃO NA PRAÇA DUQUE DE CAXIAS	Em 26 de abril, dentro do contexto do combate à pandemia do novo coronavírus (COVID-19), o 24º Batalhão de Infantaria de Selva realizou, ações de higienização na Praça Duque de Caxias e nas agências bancárias localizadas no bairro do João Paulo, na cidade de São Luís (MA).	Higienização		Nordeste	MA	São Luís 
291	https://operacaocovid19.defesa.gov.br/noticias/noticia/1030	29/04/2020	Base de Hidrografia da Marinha em Niterói doa alimentos a famílias do Programa Forças no Esporte	Parceira no Programa Forças no Esporte (Profesp), a Base de Hidrografia da Marinha em Niterói (BHMN) doou, no dia 17 de abril, cestas com alimentos às famílias das crianças beneficiadas pelo Programa.	Alimentação		Sudeste	RJ	Niterói
292	https://operacaocovid19.defesa.gov.br/noticias/noticia/1031	28/04/2020	Para ampliar combate à pandemia, militares intensificam capacitação de agentes civis	A Operação COVID-19 chega ao 40º dia de atividade com mais de 29 mil militares engajados, além do emprego de 1.022 viaturas, 102 embarcações e 32 aeronaves. Para ampliar o esforço na luta contra o novo Coronavírus, as Forças Armadas têm investido em capacitação não só do público interno, mas também de agentes civis. Eles são treinados desinfecção de ambientes públicos.	Higienização		Sudeste	RJ	Duque de Caxias
293	https://operacaocovid19.defesa.gov.br/noticias/noticia/1032	29/04/2020	REGIMENTO REALIZA ENTREGA DE CESTAS BÁSICAS AOS ALUNOS DO PROGRAMA FORÇAS NO ESPORTE	No dia 23 de abril, o 17º Regimento de Cavalaria Mecanizado (17º RC Mec) realizou a entrega de cestas básicas aos alunos do Programa Forças no Esporte (PROFESP).	Alimentação		Centro-Oeste	MS	Amambai
294	https://operacaocovid19.defesa.gov.br/noticias/noticia/1033	29/04/2020	Escola de Aprendizes-Marinheiros de Pernambuco realiza doação de 300 kits de alimentação para famílias de integrantes do Profesp	A Escola de Aprendizes-Marinheiros de Pernambuco (EAMPE) realizou, no dia 23 de abril, a doação de 300 kits de alimentação para famílias beneficiadas pelo Programa Forças no Esporte (Profesp).	Alimentação		Nordeste	PE	Olinda
295	https://operacaocovid19.defesa.gov.br/noticias/noticia/1034	29/04/2020	SOLIDARIEDADE UNE BRASILEIROS E VENEZUELANOS NO COMBATE À COVID-19	“Estamos aqui como voluntárias, fazendo máscara para todos os tipos de pessoas confirmadas com o coronavírus, que estão com suspeita e os doutores, que estão fazendo um trabalho com eles”, diz, com orgulho, a venezuelana Diana Prieto, 31 anos, moradora do abrigo Rondon 2. Ela e mais homens e mulheres venezuelanos e brasileiros estão unidos em solidariedade e de forma espontânea para a fabricação de equipamentos de proteção individual (EPI) para fornecer segurança durante as ações de tratamento da Covid-19 na Área de Proteção e Cuidados (APC).	Indústria de Defesa		Norte	RR	Boa Vista
296	https://operacaocovid19.defesa.gov.br/noticias/noticia/1035	29/04/2020	Organizações Militares da FAB doam alimentos aos estudantes do PROFESP	Nos dias 27 e 28 de abril, a Ala 6 - Base Aérea de Porto Velho realizou a entrega de 200 kits de alimentação às famílias das crianças participantes do Programa Forças no Esporte (PROFESP). O Programa do Ministério da Defesa conta com o apoio das Forças Armadas, proporcionando atendimento a alunos da rede pública de ensino, com idade de seis a 18 anos, em situação de vulnerabilidade social.	Alimentação		Centro-Oeste	RO	Porto Velho
297	https://operacaocovid19.defesa.gov.br/noticias/noticia/1036	29/04/2020	APOIO À SOCIEDADE DE URUGUAIANA	O 22° Grupo de Artilharia de Campanha Autopropulsado (22º GAC AP) recebeu, no dia 27 de abril, a primeira leva de cestas básicas, para apoiar 20 instituições da rede de ensino estadual com alunos em situação de vulnerabilidade na cidade de Uruguaiana. Ao todo, 2340 cestas foram divididas no ginásio do 22° GAC AP.	Alimentação		Sul	RS	Uruguaiana
298	https://operacaocovid19.defesa.gov.br/noticias/noticia/1037	28/04/2020	Comando do 8º Distrito Naval coordena desinfecção preventiva no município de Guarujá-SP	O Comando do 8º Distrito Naval coordenou, no dia 26 de abril, a desinfecção preventiva no Terminal Rodoviário Vicente de Carvalho, localizado no município de Guarujá-SP.	Higienização		Sudeste	SP	Guarujá
299	https://operacaocovid19.defesa.gov.br/noticias/noticia/1038	28/04/2020	DESCONTAMINAÇÃO DE ÁREAS PÚBLICAS	Dia 25 de abril, a 3ª Divisão de Exército (3ª DE), realizou a descontaminação de locais de grande circulação da população de Santamariense, prosseguindo assim nas ações de controle da propagação da COVID-19.	Higienização		Sul	RS	Santa Maria
300	https://operacaocovid19.defesa.gov.br/noticias/noticia/1039	29/04/2020	Comando do 5º Distrito Naval realiza distribuição de cestas básicas aos alunos do Centro de Convívio dos Meninos do Mar	O Comando do 5º Distrito Naval, por meio do Grupamento de Fuzileiros Navais do Rio Grande (GptFNRG), realizou, no dia 17 de abril, a entrega de 140 cestas básicas para as famílias de alunos do Centro de Convívio dos Meninos do Mar (CCMar), da Universidade Federal do Rio Grande (FURG). O centro atende jovens estudantes em situação de vulnerabilidade socioeconômico na cidade.	Alimentação		Sul	RS	Rio Grande
301	https://operacaocovid19.defesa.gov.br/noticias/noticia/1040	28/04/2020	OPERAÇÃO COVID19: DESINFECÇÃO DE LOCAIS PÚBLICOS EM MACEIÓ E REGIÃO METROPOLITANA	Como parte das ações de combate ao novo coronvirus (COVID-19), militares do Exército e da Força Aérea, que compõem o Comando Conjunto Nordeste no Estado de Alagoas, continuaram os trabalhos de desinfecção de locais públicos em Maceió e Região Metropolitana.	Higienização		Nordeste	AL	Maceió
302	https://operacaocovid19.defesa.gov.br/noticias/noticia/1041	29/04/2020	Força Aérea transporta respiradores de Manaus (AM) para São Paulo (SP)	A Força Aérea Brasileira (FAB) realizou, nesta terça-feira (28/04), uma missão de Transporte Aéreo Logístico em apoio à Operação COVID-19. A aeronave C-95M Bandeirante, pertencente ao Sexto Esquadrão de Transporte (6°ETA), transportou de Manaus (AM) para Guarulhos (SP), sete respiradores para manutenção. A missão foi coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde.	Apoio Logístico		Norte	AM	Manaus
303	https://operacaocovid19.defesa.gov.br/noticias/noticia/1042	29/04/2020	1º BATALHÃO DE DEFESA QUÍMICA, BIOLÓGICA, RADIOLÓGICA E NUCLEAR COLOCOU EM PRÁTICA A DESINFECÇÃO EM LOCAIS DE GRANDE CIRCULAÇÃO DE PESSOAS NA CIDADE DO RIO DE JANEIRO.	No dia 23 de abril, aproveitando o feriado estadual, o Comando Conjunto Leste colocou em prática a desinfecção em diversos pontos da cidade. Em prosseguimento à Operação COVID-19, o 1º Batalhão de Defesa Química, Biológica, Radiológica e Nuclear (1º Btl DQBRN) foi empregado em locais de grande circulação de pessoas.	Higienização		Sudeste	RJ	Rio de Janeiro
304	https://operacaocovid19.defesa.gov.br/noticias/noticia/1043	29/04/2020	ENTREGA DE KITS DE ALIMENTAÇÃO ÀS FAMILIAS DAS CRIANÇAS DO PROFESP-2020	No dia 28 de abril, a 2ª Companhia de Fronteira - “Companhia Soldado Simeão Fernandes” realizou a doação de kits de alimentação para crianças atendidas pelo Programa Forças no Esporte (PROFESP). Tal atividade possibilitou a continuidade do reforço alimentar aos jovens, uma vez que as ações do PROFESP- 2020 foram suspensas devido à pandemia do novo coronavírus.	Alimentação		Centro-Oeste	MS	Porto Murtinho
305	https://operacaocovid19.defesa.gov.br/noticias/noticia/1044	29/04/2020	APOIO LOGÍSTICO À FUNDAÇÃO CENTRO DE CONTROLE DE ONCOLOGIA DO ESTADO DO AMAZONAS	Em apoio ao combate da pandemia da COVID-19, o 12º Grupo de Artilharia Antiaérea, “Grupo Tenente Juventino da Fonseca”, montou duas de suas barracas de campanha para auxiliar no processo de acolhimento e triagem de pacientes da Fundação Centro de Controle de Oncologia do Estado do Amazonas (FCECON).	Apoio Logístico		Norte	AM	Manaus
306	https://operacaocovid19.defesa.gov.br/noticias/noticia/1045	29/04/2020	Militares da Marinha, Exército e Força Aérea seguem atuando nas ações de desinfecção contra a Covid-19	As Forças Armadas empregam, diariamente, esforços no combate à Covid-19. Até o momento, o efetivo envolvido é de 29 mil militares, utilizando-se de 1022 viaturas, 102 embarcações e 34 aeronaves. Nesse contexto, o Comando Conjunto Rio Grande do Norte e Paraíba realizou desinfecção da Delegacia da Polícia Federal em Mossoró (RN). O mesmo Comando desinfectou o Hospital Municipal Paulina Targino, localizado no município de Messias Targino. No Nordeste, o Comando Conjunto realizou a limpeza das estações Afogados, Santa Luzia, Coqueiral e Werneck, em Pernambuco (RE).	Higienização		Nordeste	RN	Mossoró
307	https://operacaocovid19.defesa.gov.br/noticias/noticia/1046	30/04/2020	FAB transporta EPIs de Canoas (RS) para Brasília (DF)	A Força Aérea Brasileira (FAB) realizou, nesta quarta-feira (29/04), uma missão de Transporte Aéreo Logístico em apoio à Operação COVID-19. A aeronave C-98 Grand Caravan, pertencente ao Esquadrão Pégaso (5º ETA), transportou 2300 máscaras do tipo face shield, doadas por cooperativas de empresas. A missão foi coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde.	Apoio Logístico		Sul	RS	Canoas
308	https://operacaocovid19.defesa.gov.br/noticias/noticia/1047	29/04/2020	COMBATE À COVID-19	O 30º Batalhão de Infantaria Mecanizado iniciou, no dia 27 de abril, o apoio à Prefeitura de Apucarana no enfrentamento da pandemia da COVID-19, realizando a distribuição de 150.000 máscaras adquiridas pelo município, para a população em geral. Nesse apoio, o Batalhão está empregando 23 viaturas e o efetivo de 186 militares, que estão percorrendo as ruas dos diversos bairros da cidade, realizando a entrega em cada residência e evitando, assim, aglomerações de pessoas.	Apoio Logístico		Sul	PR	Apucarana
309	https://operacaocovid19.defesa.gov.br/noticias/noticia/1048	29/04/2020	Sanatório Naval de Nova Friburgo-RJ entrega kits de alimentação a alunos do Profesp	O Sanatório Naval de Nova Friburgo iniciou, no dia 27 de abril, a distribuição de kits de alimentação aos responsáveis pelos alunos inscritos no Programa Forças no Esporte (Profesp). A ação contemplará 61 famílias e busca atender as necessidades dos beneficiados por ocasião da interrupção temporária do Programa, devido à recomendação de distanciamento social em face da COVID-19.	Alimentação		Sudeste	RJ	Nova Friburgo
310	https://operacaocovid19.defesa.gov.br/noticias/noticia/1049	29/04/2020	TRANSPORTE LOGÍSTICO DE MATERIAIS DE SAÚDE E ALIMENTOS	No dia 27 de abril, o 14º Batalhão Logístico (14º BLog), coordenado pelo Comando Conjunto Nordeste, recebeu a missão de realizar o transporte logístico de aproximadamente 1.800 Kg de materiais hospitalares e 450 cestas básicas da Base Aérea de Natal (RN) para o CINDACTA III em Recife.	Apoio Logístico		Nordeste	PE	Recife
311	https://operacaocovid19.defesa.gov.br/noticias/noticia/1050	29/04/2020	Guarnição de Aeronáutica de Santa Maria (RS) realiza ações de combate a COVID-19	Com o objetivo de combater a propagação do novo Coronavírus, a Guarnição de Aeronáutica de Santa Maria (RS) tem realizado uma série de ações, como distribuição de cestas básicas para as famílias dos estudantes do Programa Forças no Esporte (PROFESP), vacinação do efetivo contra a Influenza e descontaminação de diversos setores da Organização Militar.	Alimentação		Sul	RS	Santa Maria
312	https://operacaocovid19.defesa.gov.br/noticias/noticia/1051	29/04/2020	APOIO A ÓRGÃOS PÚBLICOS EM ITAITUBA	Dando sequência à Operação COVID-19, o 53° Batalhão de Infantaria de Selva realizou, na manhã do dia 28 de abril, um trabalho de higienização na área portuária do distrito de Miritituba, além de prestar apoio à Polícia Militar e à Vigilância Sanitária local, com o trabalho de triagem de saúde. Na ocasião, também foi realizada uma distribuição de panfletos, visando conscientizar a população sobre as formas de contágio do novo coronavírus e sobre como se prevenir.	Higienização		Norte	PA	Itaituba
313	https://operacaocovid19.defesa.gov.br/noticias/noticia/1052	29/04/2020	Marinha do Brasil capacita civis no combate à Covid-19	A Marinha do Brasil (MB), por meio do Comando Conjunto Leste, ministrou, nesta terça-feira (28), duas capacitações com instruções teóricas e práticas de Defesa Nuclear, Biológica, Química e Radiológica (NBQR) para padres da arquidiocese do Rio de Janeiro, irmãs do Colégio Santo Antônio e funcionários da prefeitura de Duque de Caxias.	Apoio de Saúde		Sudeste	RJ	Rio de Janeiro
314	https://operacaocovid19.defesa.gov.br/noticias/noticia/1053	30/04/2020	DESINFECÇÃO DE ÁREA.	No dia 29 de abril, o 17º Regimento de Cavalaria Mecanizado (17º RC Mec), seguindo diretrizes do Comando Conjunto Oeste e da Força Terrestre Componente Guaicurus - Comando da 4ª Brigada de Cavalaria Mecanizada quanto ao combate e controle da pandemia de COVID 19, realizou a desinfecção da praça da Vila Limeira.	Higienização		Centro-Oeste	MS	Amambai
315	https://operacaocovid19.defesa.gov.br/noticias/noticia/1054	30/04/2020	Kits de alimentação são distribuídos para alunos do PROFESP	O Programa Forças no Esporte (PROFESP), do Centro de Instrução e Adaptação da Aeronáutica (CIAAR), sediado em Lagoa Santa (MG), iniciou, no dia 28 de abril, a distribuição de kits alimentação para as famílias das crianças e adolescentes participantes do Programa.	Alimentação		Sudeste	MG	Lagoa Santa
316	https://operacaocovid19.defesa.gov.br/noticias/noticia/1055	30/04/2020	Colégio Naval distribui kits de alimentação aos alunos do Programa Forças no Esporte	O Colégio Naval (CN) realizou, nos dias 27 e 28 de abril, a distribuição de cestas básicas para as famílias de crianças e jovens atendidos pelo Programa Forças no Esporte (Profesp). A entrega dos alimentos ocorreu na Defesa Civil, em Angra dos Reis-RJ, e foi organizada de forma a evitar aglomeração, seguindo as medidas e orientações do Ministério da Saúde de higienização e de distanciamento.	Alimentação		Sudeste	RJ	Angra dos Reis
317	https://operacaocovid19.defesa.gov.br/noticias/noticia/1056	30/04/2020	MILITARES REALIZAM AÇÕES DE COMBATE À COVID-19 NA ILHA DE MARAJÓ	No período de 27 de abril a 1° de maio, o 2° Batalhão de Infantaria de Selva (2° BIS), compondo a Força Terrestre Componente Pedro Teixeira, do Comando Conjunto Norte, realizou ações de higienização e conscientização da população contra o novo coronavírus, no arquipélago do Marajó, localizado ao norte do Estado do Pará.	Higienização		Norte	PA	Ilha de Marajó
318	https://operacaocovid19.defesa.gov.br/noticias/noticia/1057	03/05/2020	FAB transporta mais de 25 toneladas de materiais hospitalares para Manaus	Duas aeronaves C-130 Hércules da Força Aérea Brasileira (FAB) realizaram, neste sábado (02/05), ação de Transporte Aéreo Logístico em apoio à Operação COVID-19. A missão interministerial, coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde, visou transportar os insumos para auxiliar no combate ao novo Coronavírus.	Apoio Logístico		Norte	AM	Manaus
319	https://operacaocovid19.defesa.gov.br/noticias/noticia/1058	30/04/2020	Contra a COVID-19, Forças Armadas realizam desinfecção de hospitais públicos	Para conter o avanço da doença causada pelo novo Coronavírus no Brasil, a Operação COVID-19, do Ministério da Defesa, atua sistematicamente na desinfecção de hospitais públicos. Esta semana, a atividade foi realizada em unidades de saúde de diversas regiões do território nacional. Simultaneamente, outras ações foram desempenhadas por militares das três forças de Defesa, Marinha, Exército e Aeronáutica.	Higienização		Sudeste	MG	Juiz de Fora
320	https://operacaocovid19.defesa.gov.br/noticias/noticia/1059	30/04/2020	1º Batalhão de Operações Ribeirinhas realiza entrega de kits de alimentação às famílias de crianças do Programa Forças no Esporte	O 1º Batalhão de Operações Ribeirinhas (1°BtlOpRib), subordinado ao Comando do 9° Distrito Naval (Com9ºDN) realizou, no período de 24 a 29 de abril, a entrega de kits de alimentação para as famílias de crianças e jovens beneficiados pelo Programa Forças no Esporte (Profesp).	Alimentação		Norte	AM	Manaus
321	https://operacaocovid19.defesa.gov.br/noticias/noticia/1060	04/05/2020	GRUPO CONTINUA ATUAÇÃO NA OPERAÇÃO COVID-19, COM HIGIENIZAÇÃO DE ÁREAS	No período de 25 de abril a 1° de maio, o 1° Grupo de Artilharia de Campanha de Selva (1º GAC Sl), atuando sob coordenação da 23ª Brigada de Infantaria de Selva, no contexto da operação COVID-19, como medida sanitária preventiva, realizou, no dia 25, a higienização de pontos de ônibus ao longo da BR 222 e em frente às Unidades militares da Rodovia Transamazônica. Realizou, também, no dia 26, a higienização do Abrigo da Folha 32, no Bairro Nova Marabá, que acolhe famílias atingidas pela enchente. Na mesma ocasião, foi realizada panfletagem e palestra de conscientização. No dia 29 de abril, continuando os trabalhos, foram higienizados os pontos de ônibus da Cidade Jardim e, no dia 30, foi a vez do Colégio Cívico Militar Rio Tocantins e da SESPA.	Higienização		Norte	PA	Marabá
322	https://operacaocovid19.defesa.gov.br/noticias/noticia/1061	03/05/2020	PROFESP do CINDACTA III entrega cestas básicas a 450 famílias	Entre os dias 28 e 30 de abril, são realizadas as distribuições de 450 cestas básicas para as famílias dos alunos beneficiados pelo Programa Forças no Esporte (PROFESP), do Terceiro Centro Integrado de Defesa Aérea e Controle de Tráfego Aéreo (CINDACTA III). Respeitando os cuidados e as orientações para a prevenção da COVID-19, a entrega é feita no Clube das Águias em Recife.	Alimentação		Nordeste	PE	Recife
323	https://operacaocovid19.defesa.gov.br/noticias/noticia/1062	01/05/2020	Pescadores e ribeirinhos recebem apoio das Forças Armadas durante a pandemia	Sem possibilidade de garantir o próprio sustento, devido à pandemia da Covid-19 e a adoção de medidas de isolamento social, comunidades de pescadores e populações ribeirinhas vêm contando com o apoio das Forças Armadas. Militares entregaram mais de uma tonelada de alimentos a moradores dos povoados ribeirinhos da Ilha Mem de Sá, Caibros e a uma vila de pescadores localizada às margens do Rio Vaza-Barris, em Sergipe.	Alimentação		Nordeste	SE	Ilha Mem de Sá
324	https://operacaocovid19.defesa.gov.br/noticias/noticia/1063	30/04/2020	Comando Conjunto RN e PB realiza desinfecção de hospital público no município de Messias Targino-RN	O Comando Conjunto Rio Grande do Norte e Paraíba realizou, nessa quarta-feira (29), a desinfecção do Hospital Maternidade Paulina Targino, localizado no município de Messias Targino-RN, como parte da Operação “Covid-19”.	Higienização		Nordeste	RN	Messias Targino
325	https://operacaocovid19.defesa.gov.br/noticias/noticia/1064	01/05/2020	COMANDANTE DO EXÉRCITO ACOMPANHA AS OPERAÇÕES DA COVID-19 NO COMANDO CONJUNTO DO SUDESTE	O Comandante do Exército, General de Exército Edson Leal Pujol, visitou o Centro de Coordenação de Operações (CCOp) da Operação COVID-19 no Quartel-General Integrado, em São Paulo (SP), na terça-feira, dia 28 de abril.	Coordenação		Sudeste	SP	São Paulo
326	https://operacaocovid19.defesa.gov.br/noticias/noticia/1065	03/05/2020	Ala 1 entrega kits de higiene às famílias dos alunos do PROFESP	A Ala 1- Base Aérea de Brasília realizou, na segunda-feira (27), a entrega de 400 kits de higiene pessoal e bucal para as famílias das crianças atendidas pelo Programa Força no Esporte (PROFESP). Os kits contendo escova de dente, pasta de dente, fio dental e sabonete foram doados pelo Comando-Geral do Pessoal (COMGEP) em parceria com a Odontoclínica de Aeronáutica de Brasília (OABR).	Apoio Logístico		Centro-Oeste	DF	Brasília
327	https://operacaocovid19.defesa.gov.br/noticias/noticia/1066	01/05/2020	Operação Covid 19 segue em atividade por todo o país	A Operação Covid-19 segue em atividade por todo o país, no combate ao coronavírus e em apoio à população em isolamento social. A cada dia, são reforçadas as ações de desinfecção de locais onde há grande circulação de pessoas, de distribuição de alimentos, e de doação de sangue, entre outras tarefas imprescindíveis nesse momento inédito pelo qual o mundo está passando. As necessidades são muitas e as Forças Armadas estão a serviço da nação. Até o momento, já são mais de 29 mil militares, mil viaturas, 102 embarcações e 34 aeronaves empenhadas na missão.	Higienização		Norte	PA	Belém
328	https://operacaocovid19.defesa.gov.br/noticias/noticia/1067	30/04/2020	Mais de 200 militares da Marinha apoiam entrega de alimentos em Salvador-BA	Em apoio à Prefeitura Municipal de Salvador, desde o dia 27 de abril, 222 militares da Marinha do Brasil são empregados na entrega de sete mil cestas básicas, ação que visa a mitigar os impactos causados pelo novo coronavírus na população soteropolitana mais carente. A iniciativa do poder público, que segue até o dia 1º de maio, beneficiará as pessoas que vivem abaixo da linha da pobreza, inscritas no Cadastro Único, e que não tenham recebido benefício semelhante do município.	Alimentação		Nordeste	BA	Salvador
329	https://operacaocovid19.defesa.gov.br/noticias/noticia/1068	30/04/2020	DESINFECÇÃO DE LOCAIS PÚBLICOS EM SUZANO	O 5º Batalhão de Infantaria Leve (5º BIL) realizou, na madrugada do dia 30 de abril, a desinfecção de locais públicos com grande circulação de pessoas em Suzano - SP.	Higienização		Sudeste	SP	Suzano
330	https://operacaocovid19.defesa.gov.br/noticias/noticia/1069	02/05/2020	Aeronaves KC-390 Millennium realizam Transporte Aéreo Logístico neste sábado	Em mais uma etapa da Operação COVID-19, duas aeronaves KC-390 Millennium, da Força Aérea Brasileira (FAB), realizaram missões de Transporte Aéreo Logístico para a região norte do país, neste sábado (02/05). A missão interministerial, coordenada pelo Comando de Operações Aeroespaciais (COMAE) junto ao Centro de Operações Conjuntas (COC) do Ministério da Defesa, em apoio ao Ministério da Saúde, visou transportar os insumos para auxiliar no combate ao novo Coronavírus.	Apoio Logístico		Norte	AM	Manaus
331	https://operacaocovid19.defesa.gov.br/noticias/noticia/1070	02/05/2020	Durante pandemia, Forças Armadas ampliam distribuição de água à população	Durante a pandemia causada pelo novo Coronavírus, o Ministério da Defesa deflagrou a Operação COVID-19 para agir de diversas formas no auxílio à população afetada: doação de sangue, alimentos, desinfecção de áreas públicas, entre outros. E um produto não pode faltar durante o período de distanciamento social da população: água potável. Nas regiões onde a estiagem prejudica o abastecimento, as Forças Armadas atuam para garantir que a água chegue às casas dos brasileiros.	Alimentação		Sul	RS	Bagé
332	https://operacaocovid19.defesa.gov.br/noticias/noticia/1071	01/05/2020	2° Batalhão de Operações Ribeirinhas realiza descontaminação de mercado municipal em Belém-PA	No dia 29 de abril, a Equipe de Resposta Nuclear, Biológica, Química e Radiológica do Comando do 4º Distrito Naval, nucleada no 2° Batalhão de Operações Ribeirinhas, realizou a descontaminação do Mercado Municipal do bairro da Pedreira, em Belém-PA, contribuindo no combate à proliferação do novo coronavírus na cidade. O trabalho é parte integrante do Comando Conjunto Norte.	Higienização		Norte	PA	Belém
333	https://operacaocovid19.defesa.gov.br/noticias/noticia/1072	30/04/2020	TIRO DE GUERRA PARTICIPA DE DISTRIBUIÇÃO DE CESTAS BÁSICAS NO MUNICÍPIO DE LONDRINA	Desde o dia 13 de abril o Tiro de Guerra 05-003 (TG 05-003) participa diariamente de uma atividade capitaneada pela prefeitura municipal, cuja finalidade é o recebimento e a distribuição de cestas básicas no município de Londrina.	Alimentação		Sul	PR	Londrina
334	https://operacaocovid19.defesa.gov.br/noticias/noticia/1073	01/05/2020	CGNA atua em apoio à Operação COVID-19	O Centro de Gerenciamento da Navegação Aérea (CGNA), unidade subordinada ao Departamento de Controle do Espaço Aéreo (DECEA), ativou um Plano de Contingência para gerenciar a situação do tráfego aéreo, decorrente da pandemia da COVID-19.	Coordenação				
